country_of_origin,region,altitude,company
Mexico,"motozintla, chiapas",1200,industrializadora de kaffee andes s.a. de c.v.
Peru,san ignacio,900-1500 masl,"tony's coffee and teas, inc."
India,chickmangalore,,olam japan
Guatemala,oriente,,asociación nacional del café - anacafe -
Mexico,coatepec,1100,exportadora moretto s.a. de c.v.
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,zaragoza itundujia,1400,cafeorganico.mx
Indonesia,indonesia,3500,
Mexico,tepictla,1250,el mejor café
Honduras,intibuca,1350,cafes finos de exportacion s de r.l.
Philippines,"benguet, mountain province",1000+ meters,prime3
Guatemala,oriente,4300,"unex guatemala, s.a."
Guatemala,oriente,,"unex guatemala, s.a."
Mexico,tlacuilotepec,1100,productores e industrializadores de café orgánico la fe s.c. de r.l.
Mexico,ocosingo,1200,sposel s. de s.s.
Mexico,,1100,cafe montegrande
Mexico,huautla de jimenez,1280,union regional de cafeticultores de la mazateca alta
Mexico,menglian,850,grupo juvenil magtayani ac
Mexico,zaragoza itundujia,1500,cafeorganico.mx
Mexico,coatepec,1250,
Guatemala,oriente,,"unex guatemala, s.a."
Guatemala,oriente,,"unex guatemala, s.a."
Mexico,chiapas,1700,cesmach s.c.
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,"chocaman, veracruz",1140,
Mexico,xalapa,1200,
Mexico,coatepec,1250,
Brazil,campos altos - cerrado,,bourbon specialty coffees
Honduras,intibuca,1350,cafes finos de exportacion s de r.l.
Mexico,sierra alta mixe y zapoteca,1200 meters,upctiz zapoteca s.p.r. de r.l.
Costa Rica,occidental,1200 msm,santa laura exportadora de cafe s.l.e.c. s.a.
Mexico,tlatlauquitepec,800,cafe colonial de tlatlauquitepec
Mexico,veracruz,1800,
Mexico,"sierra norte yajalon, chiapas",1000 meters,globus coffee
Honduras,marcala,1450 msnm,cadexsa
Honduras,marcala,1450 msnm,cadexsa
Honduras,marcala,1450 msnm,cadexsa
Mexico,juchique de ferrer,900,terra mia
Haiti,"department d'artibonite , haiti",~350m,haiti coffee
Nicaragua,jalapa,1100,exportadora atlantic s.a
Guatemala,nuevo oriente,4650,unicafe
Honduras,comayagua,1400,cigrah s.a de c.v
Uganda,sheema south western,1488,ankole coffee producers coop
India,chikmagalur karnataka indua,3170,kaapi royale
India,chikmagalur,1000m,sethuraman estate
Uganda,central,1212,ugacof ltd
Uganda,luwero central region,1200-1300,katuka development trust ltd
India,chikmagalur,3000',"cafemakers, llc"
India,chikmagalur,750m,cafemakers
India,chikmagalur karnataka india,3140,kaapi royale
India,chikmagalur karnataka,1000,kaapi royale
Uganda,western,900-1300,ugacof ltd
Uganda,iganga namadrope eastern,1095,ugacof ltd
India,chikmagalur karnataka,1000,kaapi royale
India,chikmagalur,750m,cafemakers
Uganda,eastern,1367,kasozi coffee farmers association
Uganda,south western,1488,ankole coffee producers coop
India,chikmagalur,1000m,sethuraman estate
India,chikmagalur,750m,"cafemakers, llc"
Uganda,western,1600,kawacom uganda ltd
Uganda,western,1745,nitubaasa ltd
Uganda,southern,1200,mannya coffee project
India,chikmagalur,750m,cafemakers
India,chikmagalur,750m,"cafemakers, llc"
United States,chikmagalur,3000',"cafemakers, llc"
Ecuador,"san juan, playas",,robustasa
Ecuador,"san juan, playas",40,robustasa
United States,"kwanza norte province, angola",795 meters,global opportunity fund
