country_of_origin,region,altitude,company
Guatemala,acatenango,5000,sertrasa
Mexico,el remudadero,1200,organizaciones de productores de cafe colimense sa de cv
Uganda,mbale,1700-1850m,ugacof ltd
Colombia,santander,1500,racafe & cia s.c.a
Colombia,huila,,racafe & cia s.c.a
Kenya,nyeri,1800,c dorman ltd
Guatemala,jalapa,5000 ft.,"armajaro guatemala, s. a."
Guatemala,oriente,4000 psn,"unex guatemala, s.a."
Colombia,santander,1550,ecom cca sa
Colombia,huila,1600 a 1900 msnm,racafe & cia s.c.a
Kenya,,,taylor winch (coffee) ltd
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Costa Rica,tres rios,1450 ~ 1700 m,lusso coffee lab
Colombia,huila,1800 msnm,exportadora de cafe condor s.a
Brazil,vale da grama,1300m,nucoffee
Brazil,mountains of minas gerais,1100m,nucoffee
Uganda,eastern uganda,1750,kawacom uganda ltd
China,yunnan,1680,yunnan coffee exchange
China,yunnan,above 1100m,"puer jiangcheng fuwang coffee biotechnology co., ltd"
Guatemala,oriente,4300,"unex guatemala, s.a."
Kenya,nyeri,2000 m,dream together co. ltd
Mexico,hustusco,1350,
Mexico,jaltenango,1500,ecomtrading
Guatemala,"el tumbador, san marcos",,"transcafe, s.a"
Costa Rica,tarrazu,1300,beneficios volcafé costa rica
Indonesia,sumatra brastagi,1400,pt. olam indonesia
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Taiwan,"mountain ali, taiwan",1200m,tropica galliard
Mexico,tapachula,900,finca hamburgo
Honduras,comayagua,1500,cigrah s.a de c.v
Colombia,huila,,skn caribecafe ltda
Honduras,central region,1500,cigrah s.a de c.v
Colombia,la plata,,racafe & cia s.c.a
Colombia,huila,442 msnm,carcafe ltda
Colombia,huila,1800,exportadora de cafe condor s.a
Mexico,tuxtla gutierrez,1700,
Brazil,vale da grama,1200m to 1350m,
Brazil,south of minas,900-1200m,
Taiwan,國姓鄉 guoshing township,1000,taiwan coffee laboratory
Thailand,chiang rai thailand,1200,matsuzawa coffee
Colombia,nariño,2560,carcafe ltda
Guatemala,antigua,1500,"siembras vision, s.a."
Guatemala,huehuetenango,3607,exportcafe
China,yunnan,1400,yunnan coffee exchange
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Colombia,huila,442 msnm,carcafe ltda
"Tanzania, United Republic Of",shizingo village,1620m,tembo coffee company ltd
"Tanzania, United Republic Of",mbeya,1600,taylor winch (t) ltd
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Colombia,cauca,1700,exportadora de cafe condor s.a
Mexico,san pedro cotzilnam,1450,carajillo café sa de cv
Mexico,veracruz,1170,
Mexico,"la concordia, chiapas",1400,ecomtrading
Uganda,kasese,1700m,bukonzo joint cfs
Guatemala,san marcos,1700,"unex guatemala, s.a."
Colombia,huila,,racafe & cia s.c.a
Costa Rica,tarrazu,1700,exclusive coffee - costa rica
Guatemala,huehuetenango,3664,exportcafe
Guatemala,solola,1565,cafcom
Guatemala,norte,3280,"unex guatemala, s.a."
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Nicaragua,jinotega,de 900 a 1100 msnm,cooperativa el gorrion r.l
Brazil,cerrado,1150,cafebras comercio de cafés do brasil sa
Costa Rica,tarrazu,1850,"ceca,s.a."
Ethiopia,snnprg; kafa; telo woreda; shada kebele,1545-1668 masl,asefa dukamo coffee plantetion
"Tanzania, United Republic Of",arusha,1400,selian coffee estate
Kenya,kenya,approx. 1'500 metres a.s.l.,taylor winch (coffee) ltd
Brazil,"minas gerais, br",894m - 1183m,café do paraíso
Guatemala,oriente,4300,"unex guatemala, s.a."
El Salvador,apaneca,1500 meters,atlantic specialty coffee
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Guatemala,guatemala,,unicafe
Uganda,mt. rwenzori,1500-1700m,great lakes coffee
Indonesia,aceh tengah,,pt. royal pacific indah international
Taiwan,"nanxi dist., tainan city 臺南市楠西區",968,taiwan coffee laboratory
Guatemala,oriente,,"unex guatemala, s.a."
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Guatemala,"aldea xeucalvitz, ixil region, quiche department",1550,lusso coffee lab
Mexico,santo domingo cacalotepec,1480,
Ethiopia,"ethiopia, sidamo",1800m,the specialty coffee appraisers institute of asia
Ethiopia,sidamo,1800,kyagalanyi coffee ltd
Honduras,comayagua,1500,cigrah s.a de c.v
Guatemala,huehuetenango,5440 - 5760 metros,exportcafe
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Colombia,huila,1480,olam international ltd
Colombia,santander,1450,ecom cca sa
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Ethiopia,sidamo,1550 m,lusso coffee lab
Colombia,cauca,1700 msnm,exportadora de cafe condor s.a
Kenya,blend,above 1200 m,ibero kenya limited
Thailand,thailand,,mae fah luang foundation
Kenya,central kenya,1650,taylor winch (coffee) ltd
Uganda,kasese,1700m,bukonzo joint cfs
Thailand,,,
Mexico,veracruz,1300,cafes tomari sa de cv
Thailand,chiangrai,1350,intercof 1978 group company limited
Brazil,south of minas,934,ipanema coffees
Taiwan,"leye, alishan township, chiayi county 嘉義阿里山樂野村",1200,taiwan coffee laboratory
Colombia,huila,442,carcafe ltda
Colombia,la plata,,racafe & cia s.c.a
Taiwan,台灣,,宸嶧國際
Colombia,huila,,federacion nacional de cafeteros
Colombia,huila,,federacion nacional de cafeteros
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Taiwan,台中和平區,950公尺,宸嶧國際
Colombia,santander,1550,ecom cca sa
Mexico,xicotepec de juarez,900,agro xicotepec 2000
Mexico,la concordia,1500,ecomtrading
Mexico,la yerbabuena,1400,organizaciones de productores de cafe colimense sa de cv
Colombia,nariño,2527,carcafe ltda
Colombia,huila,,racafe & cia s.c.a
Costa Rica,tarrazu,1850,"ceca,s.a."
Guatemala,antigua,1500,"siembras vision, s.a."
Taiwan,台灣,1200,宸嶧國際
Taiwan,"dongshan dist., tainan city 臺南市東山區",480-570m,taiwan coffee laboratory
Ethiopia,oromia,1650-1703,yasmin coffee plantation plc
Costa Rica,central valley,1200-1400,coricafe s.a.
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,petatlan,1218,
Mexico,"la concordia, chiapas",1300,ecomtrading
Thailand,"doi chaang village, chiang rai, thialand",4921ft,
Thailand,,,
Ethiopia,sidamo,,
Colombia,huila,442,carcafe ltda
Taiwan,"台南市東山區 (dongshan dist., tainan city)",750,taiwan coffee laboratory
Colombia,huila,,racafe & cia s.c.a
China,yunnan,1650,yunnan coffee exchange
Uganda,west nile,1400,nile highlands arabica coffee farmers
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Colombia,huila,1500-1600,olam international ltd
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Colombia,huila,1750,exportadora de cafe condor s.a
Mexico,"huazalingo, hidalgo",700,
Kenya,meru county,1700,taylor winch (coffee) ltd
Honduras,comayagua,1400,cigrah s.a de c.v
Nicaragua,jinotega,1250,"comercial internacional exportadora, s.a."
Brazil,south of minas,934,ipanema coffees
Taiwan,"leye, alishan township, chiayi county",1200,taiwan coffee laboratory
Thailand,thailand,800++,doi tung development project
Guatemala,huehuetenango,4451 metros,exportcafe
Colombia,huila supremo,1750 msnm,exportadora de cafe condor s.a
Colombia,huila,1800 - 2000,racafe & cia s.c.a
Guatemala,oriente,4300,"unex guatemala, s.a."
Guatemala,oriente,4300,"unex guatemala, s.a."
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Guatemala,oriente,1450,the coffee source inc.
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,xicotepec de juarez,1100,
Indonesia,east java,1200-1600masl,scai
Guatemala,"sacatepequez, guatemala",5000,"siembras vision, s.a."
Guatemala,huehuetenango,3702,exportcafe
Colombia,huila,,racafe & cia s.c.a
China,yunnan,1100,yunnan coffee exchange
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Mexico,"chiapas, jaltenango",1200,exportadora café california
Ethiopia,yirgacheffe,1700-2000m,essence coffee
Uganda,eastern,1800,bulamburi coffee farmers association
Colombia,cundinamarca,1600,ecom cca sa
Colombia,santander,1550,ecom cca sa
Colombia,santander,1550,ecom cca sa
Colombia,huila,de 1.600 a 1.950 msnm,c.i.racafe & cia s.c.a
Mexico,xalapa,1000,ecomtrading
Colombia,cundinamarca,2136 msnm,carcafe ltda
Brazil,south of minas,1100m,nucoffee
Colombia,cundinamarca,1799,carcafe ltda
Costa Rica,tarrazu,1850,"ceca,s.a."
Colombia,pitalito,1000,carcafe ltda
Guatemala,oriente,4000,"unex guatemala, s.a."
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
"Tanzania, United Republic Of",nkure- meru,1400m,tawoca
Indonesia,bener meriah,1500,pt. olam indonesia
Ethiopia,oromia,1600 on average,debesa agro industry plc
Colombia,huila,,federacion nacional de cafeteros
Colombia,huila,1850 msnm,exportadora de cafe condor s.a
Guatemala,atitlan,1400 mts,the coffee source inc.
Colombia,cundinamarca,1650,ecom cca sa
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Mexico,xalapa,1170,finca los barreales
Mexico,chilón,940,estrategias constructivas corzu s.a. de c.v.
Mexico,totutla,1400,
Guatemala,atitlan,5000,kanematsu corporation / rnp santo tomas pachuj
Colombia,huila,de 1600 a 1950 msnm,c.i.racafe & cia s.c.a
Guatemala,oriente,4600 ft.,coffee resources inc.
Guatemala,san marcos,1700,"unex guatemala, s.a."
Colombia,huila,442,carcafe ltda
Costa Rica,tarrazu,1850,"ceca,s.a."
Taiwan,,,宸嶧國際
Uganda,eastern,1800,bugisu cooperative union
Thailand,thailand,1200,matsuzawa coffee
El Salvador,apaneca,1330,consejo salvadoreño del café
Colombia,huila,442 msnm,carcafe ltda
Brazil,vale da grama,,bourbon specialty coffees
"Tanzania, United Republic Of",karatu northern,1600,ngila estate ltd
Guatemala,oriente,4000 psnm,"unex guatemala, s.a."
Guatemala,antigua,1500 msnm,"siembras vision, s.a."
Guatemala,oriente,4300,"unex guatemala, s.a."
Colombia,cundinamarca,1450 msnm,exportadora de cafe condor s.a
United States (Hawaii),kona,,
Colombia,huila,1650,exportadora de cafe condor s.a
Colombia,guayata,,racafe & cia s.c.a
Colombia,huila,,racafe & cia s.c.a
Mexico,chiapas,1200,exportadora café california
Colombia,santander,1650 msnm,exportadora de cafe condor s.a
"Tanzania, United Republic Of",arusha,1700,mondul coffee estate
Mexico,veracruz,1100,"café andrade, s.a. de c.v."
Costa Rica,central valley,1100-1300,coricafe s.a.
Colombia,pitalito,1000 msnm,carcafe ltda
Guatemala,oriente,4300,"unex guatemala, s.a."
Burundi,kayanza,1880,the specialty coffee appraisers institute of asia
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Mexico,sierra madre occidental,1600,cafe de don balbino s.c. de r.l. de c.v.
Costa Rica,tarrazu,1900,bold coast coffee
Costa Rica,tarrazu,,panamerican coffee trading
Guatemala,nuevo oriente,2100,mercon guatemala s.a.
Uganda,"sipi, mt elgon",,kawacom uganda ltd
Brazil,campos altos - cerrado,,bourbon specialty coffees
Mexico,cuarenteño,1261,productos y servicios chilindron s.a. de c.v.
Taiwan,natou county,1000 m,taiwan coffee laboratory
Taiwan,南投國姓,800公尺,宸嶧國際
Colombia,eje cafetero,1483,ecom cca sa
Guatemala,antigua,1500 msnm,"siembras vision, s.a."
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Mexico,chiapas,1300,"finca triunfo verde, s.c."
Mexico,veracruz,,finca teocelo
Mexico,fortín de las flores,1000,
Guatemala,oriente,4300,"unex guatemala, s.a."
Brazil,grama valley,1200m,nucoffee
Colombia,huila,175,exportadora de cafe condor s.a
Colombia,la plata,de 1600 a 1950 msnm,c.i.racafe & cia s.c.a
Guatemala,oriente,1901,"unex guatemala, s.a."
"Tanzania, United Republic Of",moshi,16.8,volcafe/taylorwinch tanzania ltd
Peru,,,prodlesur sa
Vietnam,dala,1550,"sunvirtue co., ltd."
Guatemala,antigua,1500,"siembras vision, s.a."
Honduras,marcala,1450,cadexsa
China,yunnan,1200,yunnan coffee exchange
China,dehong prefecture,1600,yunnan coffee exchange
El Salvador,apaneca,1350,consejo salvadoreño del café
Guatemala,antigua,1500msnm,"siembras vision, s.a."
Guatemala,oriente,1400-1900 psn,"unex guatemala, s.a."
Kenya,kenya,approx.1'500 metres a.s.l.,taylor winch (coffee) ltd
Thailand,thailand,800++,doi tung development project
"Tanzania, United Republic Of",mbinga,1653,tutunze kahawa ltd
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
Uganda,eastern,1800,kabum trading company
Honduras,san marcos,1450 msnn,"olam honduras, s.a."
Guatemala,san marcos,5000 pies,"agricola nueva granada, s.a."
"Tanzania, United Republic Of",kilimanjaro,1800,taylor winch (t) ltd
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,chiapas,1500,cesmach s.c.
Mexico,"tlanchinol, hidalgo",532,
Mexico,san bartolo tutotepec,1089,
Colombia,huila,de 1.600 a 1.950 msnm,c.i.racafe & cia s.c.a
Mexico,san isidro,700,
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Mexico,la concordia,1380,ecomtrading
Brazil,south of minas,1000m,nucoffee
Brazil,mogiana,950m,nucoffee
Guatemala,oriente,4600 ft.,coffee resources inc.
Brazil,south of minas,1000m,nucoffee
Brazil,south of minas,900m,
Colombia,cundinamarca,1799,carcafe ltda
Colombia,huila,,racafe & cia s.c.a
Brazil,south of minas,905,ipanema coffees
Taiwan,"dongshan dist., tainan city 臺南市東山區",700-800m,taiwan coffee laboratory
Brazil,chapadão de ferro (cerrado mineiro),,bourbon specialty coffees
Costa Rica,central valley,1200-1400,coricafe s.a.
Mexico,santa catarina juquila,1400,finca las nubes
Indonesia,dolok sanggul,1300-1400m,
Brazil,south of minas,894,ipanema coffees
Brazil,south of minas,872,ipanema coffees
Uganda,"kasese, mt. rwenzori",1473,ucfa
Uganda,"kasese, mt. rwenzori",1645,ucfa
Colombia,huila,442,carcafe ltda
Vietnam,vietnam cau dat,1550,"sunvirtue co., ltd."
Guatemala,nuevo oriente,1300 a 1800 metros sobre el nivel del mar,mercon guatemala s.a.
Guatemala,"el tumbador, san marcos",4500 pies,"agricola nueva granada, s.a."
Guatemala,antigua,1500msnm,"siembras vision, s.a."
Brazil,high mogiana,900-1100,atlantica eportacao e importcao ltda
Taiwan,嘉義阿里山,1200,宸嶧國際
Uganda,kapchorwa,1800,star cafe ltd
Guatemala,antigua,1500 msnm,"siembras vision, s.a."
Costa Rica,central valley,1100-1300,coricafe s.a.
Colombia,huila,1600 - 1950 msnm,racafe & cia s.c.a
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Colombia,pitalito,1000 msnm,carcafe ltda
Colombia,pitalito,1000 msnm,carcafe ltda
Colombia,huila,de 1600 a 1950 msnm,c.i.racafe & cia s.c.a
Mexico,coatepec,750,
Mexico,atoyac de alvarez,1200,finca la estancia
Mexico,coatepec,1200,ecomtrading
Colombia,,,exportadora de cafe condor s.a
Colombia,huila,1500-1750 msnm,exportadora de cafe condor s.a
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Guatemala,"la reforma, san marcos",4500,"nuevos mercados, s.a."
Colombia,la plata,1600 - 1950 msnm,c.i.racafe & cia s.c.a
Thailand,,,
El Salvador,apaneca,1350,soc. coop. cuzcachapa de r.l.
Colombia,guayata,1500,racafe & cia s.c.a
Taiwan,"dongshan dist., tainan city 臺南市東山區",350,taiwan coffee laboratory
Ethiopia,"blida,kercha,guji,oromia",2000,belayneh kindie
Taiwan,台東太麻里,775,宸嶧國際
Philippines,"bukidnon, mindanao, philppines",1200 masl,hineleban foundation
Philippines,asia pacific,1600 + meters above sea level,ephemera traders
Mexico,cuarenteño,1059,productos y servicios chilindron s.a. de c.v.
Mexico,chiapas,1300 meters,"tony's coffee and teas, inc."
Uganda,eastern,1400-1900,kawacom uganda ltd
Uganda,west nile,1400,nyapea coffee farmers association
Guatemala,antigua,1500 msnm,"siembras vision, s.a."
Guatemala,antigua,1500 msnm,"siembras vision, s.a."
Guatemala,,,thrive farmers
Colombia,huila,1800 - 2000,racafe & cia s.c.a
Colombia,huila,1750 msnm,exportadora de cafe condor s.a
Guatemala,huehuetenango,5440-5760 metros,exportcafe
Colombia,antioquia,1450,olam international ltd
Mexico,petatlan,1248,
Vietnam,don duong,1040m,royal base corporation
Mexico,la cumbre,1400 m,union de ejidos san fernando de ri
Kenya,nyeri,1754,keremara limited
Guatemala,san marcos,1700,"unex guatemala, s.a."
Brazil,south of minas,905,ipanema coffees
El Salvador,"el balsamo, quezaltepec",1250,consejo salvadoreño del café
Rwanda,gicumbi,1900,bufcoffee ltd
Vietnam,vietnam tutra,1040,"sunvirtue co., ltd."
Guatemala,oriente,4000psn,"unex guatemala, s.a."
Brazil,cerrado,900,cafebras comercio de cafés do brasil sa
Colombia,huila,1200-2000m,essence coffee
United States,berastagi,1200 m,olam specialty coffee
Guatemala,antigua,1500 msnm,"siembras vision, s.a."
Colombia,santander,1800 mts,"coffeebythebag.com , inc."
Colombia,huila,de 1600 a 1950 msnm,racafe & cia s.c.a
"Tanzania, United Republic Of",arusha,1400 meter above sea level,tcb
Mexico,la concordia,1550,beneficio custepec s.a. de c.v.
Mexico,veracruz,1250,ecomtrading
Guatemala,oriente,4300,"unex guatemala, s.a."
Mexico,la concordia,1380,ecomtrading
Guatemala,santa rosa,1800,mercon guatemala s.a.
Guatemala,san marcos,1700,"unex guatemala, s.a."
Guatemala,santa rosa,4000,"unex guatemala, s.a."
Guatemala,oriente,4000,"unex guatemala, s.a."
Indonesia,sapan toraja,1500,pt. shriya artha nusantara
